css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Stacy D.,"Las Vegas, NV",0,15,11/20/2016,"This was the most pleasant, quick, professional care from a doctor's visit ever, not just a quick care!  The building was new, clean and had parking. Staff courteous and professional and the physician was excellent!  My entire visit was 30 minutes!  Love this place!!",,1,,,,,,,,
Edith R.,"Los Angeles, CA",53,41,5/25/2016,So clean and peaceful and love the doctor.  They called the next day to ask how I was.  Great place of you have to go to urgent care.,20,2,1,,,,,,,
Patrick T.,"Central LA, Los Angeles, CA",0,2,2/20/2020,"I am so very happy with Downtown Urgent Care. I was suffering from a flu and I was feeling unwell and I am so happy that I came here! This clinic is THE BEST! I feel so happy with Dr. Chung and how caring and amazing he is. This place is top notch and so wonderful and Dr. Chung gave me the best medical treatment for what I had and I have to say that I am so thankful and grateful that I came to Downtown Urgent Care. I also want to say just how amazing and caring medical assistant Erika is! Erika is so helpful and sweet and she is so passionate about taking care of people and she truly makes me feel at home and she is so knowledgeable and pleasant. Thank you Erika! I feel that the team here is absolutely the best. I feel that everyone does such an amazing job and Dr. Chung is such a caring doctor. I also want to say that medical assistant Kassandra G. helped me so much and she is so kind and this amazing positivity that makes it so nice and awesome. Thank you so much Kassandra G. for your excellent help and getting me back to the best health! The care and excellence from Dr. Chung, Erika, and Kassandra G. is above and beyond!",,,,,,,,,,
Jason W.,"Los Angeles, CA",15,17,12/21/2018,"I found DUC in a (slight) panic after my Mom sliced her hand open in a cat fight (yes, a literal cat fight!) It was a really bad laceration and I knew she needed medical care. I found this place here on Yelp, and yes, the positive reviews are all fully legit. It was just before closing on a Thursday night and they saw her right away. We only waited about 15 minutes before Lauren and Anh took care of her. The stitches were an absolute work of art. The facilities are clean, modern and very spacious. Any preconceived notions I had about Urgent Care places being dingy and gross were vaporized. In addition, everyone was very courteous, caring and friendly. They even took her Blue Cross/Blue Shield insurance from Michigan, as she's here on Holiday vacation. I can't recommend this place highly enough. God forbid I ever need to come back, but if something gruesome happens, the DUC is my jam. Thank you guys!",6,,,,,,,,,
Katelyn A.,"Irvine, CA",1,14,2/7/2018,The doctor was nice but Idk what happened they didn't send my prescription to the pharmacy. I'm really sick and it takes a lot of strength for me just to get out of my bed. On top of this my phone calls kept getting transferred to the Culver City location and they had the audacity to tell me to drive over to the dtla location. I literally have no strength and it amazes me that a place about care tells a sick patient to drive to the DTLA location.... when they are the ones who messed up my prescription in the first place.,1,4,1,,,,,,,
Tyler T.,"Los Angeles, CA",2,12,12/24/2018,This place is great. Other urgent care places have hours long wait. Not a problem here. I came in for a snowboarding incident and was taken in right away. They processed my paperwork and medical within minutes and got me into an examination room. Dr. Heleen and Jennifer were a great help and took care of my injuries. I was in and out in under an hour. Amazing people.,12,,,,,,,,,
Angelina G.,"Las Vegas, NV",0,13,2/2/2016,"We were greeted by April in such a kind and loving manner. The office is gorgeous, plenty of free parking. And then Felix took over in the same kind loving and supportive manner and handled our paperwork. As I was traveling, I was a little leary of visiting an urgent care in another city. Upon meeting Dr. Chung, whom was kind and extremely thorough, any concerns were gone!  I was diagnosed, all prescriptions filled on site and out of the the office within a half hour. What a blessing all three of you were to me today!!!  Sending love back to you.",7,3,2,,,,,,,
Neesh L.,"Los Angeles, CA",33,6,1/27/2019,Came down with a bad cold/flu and couldn't wait to see regular doctor. Had a great experience at Downtown Urgent Care. Both and staff and doctor were helpful and not much wait time. Highly recommended.,,,,,,,,,,
Adriana R.,"Los Angeles, CA",0,12,1/16/2018,"I came into this facility with the expectations of being seen. I verified through my insurance prior before going to make sure I was in network and I was. I got checked in fast however after going to the back I waited 30 minutes to be told that they couldn't verify my insurance and that it could take 20 more minutes to 2 hours. I left and didn't even get seen and called my insurance right away. They told me they should have an online portal to verify within a few seconds. The mere fact that I had to wait 30 minutes to be told that nonsense is ridiculous. My insurance rep over the phone said they could call and verify over the phone even because it is between business hours. So for the fact they didn't baffles me!They told me they collect payment up front and that is why they do this. Honestly, that is the dumbest reason ever. If I go to urgent care and you do not attend to me because you do not have a quick online system to check my benefits, you are clearly turning my health concern into an emergency by not attending to me. It's odd to see so many 5 star reviews on this business. No business is perfect but if everyone else experienced what I just did then clearly this business does not have real reviews, incentives were possibly offered for such high ratings.",,3,1,,,,,,,
Leticia S.,"Los Angeles, CA",0,4,8/29/2018,"just called in, rep was very polite and helpful, answered all questions professionally. this is actually a walk in clinic for real and not like other clinics HOLLYWOOD WALK IN CLINIC that's states they are walk in but actually aren't. glad i found Downtown Urgent Care. i look forward to seeing you soon.",26,1,,,,,,,,
